composer,kr_composer,songs,kr_songs
Dreamcatcher,드림캐쳐,"['BOCA', 'YOU AND I', 'GOOD NIGHT', 'Chase Me', 'Full Moon', 'Fly high', 'GOOD NIGHT - FULL SONG -', 'Full Moon - FULL SONG -', 'Chase Me - FULL SONG -']","['보카', '유 앤 아이', '굿 나이트', '체이스 미', '풀 문', '날아올라', '굿 나이트 - FULL SONG -', '풀 문 - FULL SONG -', '체이스 미 - FULL SONG -']"
Morimori Atsushi,Morimori Atsushi,"['MilK', 'PUPA']","['밀크', '푸파']"
Masayoshi Minoshima,Masayoshi Minoshima,"['Bad Apple!! feat. Nomico', 'Bad Apple!! feat. Nomico - FULL SONG -']","['배드 애플!! feat. Nomico', '배드 애플!! feat. Nomico - FULL SONG -']"
DASU,DASU,"['Pneumonoultramicroscopicsilicovolcanoconiosis ft. Kagamine Len/GUMI', '8 6', '8 6 - FULL SONG -']","['진폐증 ft. Kagamine Len/GUMI', '8 6', '8 6 - FULL SONG -']"
TYPHOON,타이푼,['Airplane'],['비행기']
Yeon Ja Kim,김연자,['Amor Fati'],['아모르 파티']
MAX,MAX,"['Etude Op 10-4', 'Sugar Conspiracy Theory', 'Sarabande', 'I Want U', 'Kasou Shinja仮装信者', 'Moment Day', 'District 1', 'JANUS', 'Reminiscence', 'Rage of Fire', 'U Got Me Rocking', 'Requiem ', 'U GOT 2 KNOW', 'You Got Me Crazy', 'Accident', 'HYPERCUBE', 'We Got 2 Know', 'Overblow', 'D', 'Overblow2', 'XX OPENING - SHORT CUT -', 'Sarabande - SHORT CUT -', 'B2', 'PRIME Opening - SHORT CUT -', 'I Want U - SHORT CUT -', 'Kasou Shinja - SHORT CUT -', 'Everybody Got 2 Know', 'PRIME2 OPENING - SHORT CUT -', 'U Got Me Rocking - SHORT CUT -', 'Overblow - SHORT CUT -']","['추격', '설탕음모론', '사라반드', '아이 원트 유', '가장신자', '모멘트 데이', '디스트릭트 1', '야누스', '레미니센스', '레이지 오브 파이어', '유 갓 미 락킹', '레퀴엠', '유 갓 투 노우', '유 갓 미 크레이지', '엑시던트', '하이퍼큐브', '위 갓 투 노우', '오버블로우', '디', '오버블로우2', 'XX 오프닝 - SHORT CUT -', '사라반드 - SHORT CUT -', 'B2', '프라임 오프닝 - SHORT CUT -', '아이 원트 유 - SHORT CUT -', '가장신자 - SHORT CUT -', '에브리바디 갓 투 노우', '프라임2 오프닝 - SHORT CUT -', '유 갓 미 락킹 - SHORT CUT -', '오버블로우 - SHORT CUT -']"
Zekk,Zekk,['VECTOR'],['벡터']
WONDERTRAVELER Project,WONDERTRAVELER Project,['MURDOCH'],['머독']
ryhki,ryhki,['Acquire'],['어콰이어']
KOYOTE,코요태,['STORM'],['스톰']
HyuN & MIIM,HyuN & MIIM,['Versailles'],['베르사이유']
EBIMAYO,EBIMAYO,"['GOODTEK', 'GOODBOUNCE']","['굿텍', '굿바운스']"
Laur,Laur,"[""Viyella's Nightmare""]",['비옐라의 악몽']
EVERGLOW,에버글로우,['Pirate'],['파이렛']
THE BOYZ,더보이즈,['WHISPER'],['위스퍼']
eicateve,eicateve,['R.I.P'],['R.I.P']
Tanchiky,Tanchiky,['Energy Synergy Matrix'],['에너지 시너지 매트릭스']
NOMA,NOMA,['BRAIN POWER'],['브레인 파워']
Klass E,Klass E,"[""Barber's Madness""]",['바버스 매드니스']
xi,xi,"['Aragami', 'Halcyon', 'PRiMA MATERiA']","['아라가미', '할시온', '프ㄹi마 마테ㄹi아']"
onoken,onoken,['KUGUTSU'],['꼭두각시']
RiraN,RiraN,['BOOOM!!'],['붐!!']
LeaF,LeaF,['Mopemope'],['모페모페']
litmus*,litmus*,['Showdown'],['쇼다운']
TANO*C Sound Team,TANO*C Sound Team,['BATTLE NO.1'],['배틀 넘버원']
WEi,위아이,['Spray'],['스프레이']
LUCY,루시,['Jogging'],['조깅']
Sobrem,Sobrem,['Jupin'],['쥬핀']
Fiverwater,Fiverwater,"['Lacrimosa', 'Ice of Death', 'Solfeggietto']","['라크리모사', '아이스 오브 데스', '솔페지에토']"
Highlight,하이라이트,['Alone'],['얼론']
Cosmograph,코스모그래프,"['Ultimatum', 'Lucid Dream']","['얼티메이텀', '루시드 드림']"
Kurokotei,Kurokotei,['Galaxy Collapse'],['갤럭시 컬랩스']
MONSTA X,몬스타엑스,['Beautiful Liar'],['뷰티플라이어']
NAOKI underground -Ω-,NAOKI underground -Ω-,['CHAOS AGAIN'],['카오스 어게인']
Yakikaze & Cashew,Yakikaze & Cashew,"['Papasito (feat. KuTiNA)', 'Papasito (feat. KuTiNA) - FULL SONG -']","['파파시토 (feat. KuTiNA)', '파파시토 (feat. KuTiNA) - FULL SONG -']"
YAHPP,이 얍,"['Sorceress Elise', 'Chimera', 'Pumptris Quattro', 'Faster Z', 'Final Audition Ep. 2-2', 'Cannon X.1', 'Final Audition Ep. 2-X', 'Final Audition Ep. 2-1', 'XTREE', 'Pumptris 8Bit ver.', 'WI-EX-DOC-VA', 'Love is a Danger Zone 2 - FULL SONG -', 'Blaze Emotion', 'BEMERA', 'Chopsticks Challenge', 'Bemera - SHORT CUT -', 'Solitary 1.5', 'Pumptris 8Bit ver. - SHORT CUT -', 'Final Audition Ep. 2-X - SHORT CUT -', 'Beat of The War 2 - FULL SONG -', 'NX Opening - SHORT CUT -', 'Chopsticks Challenge - FULL SONG -']","['소서리스 엘리제', '키메라', '펌트리스 꽈뜨로', '패스터 Z', '파이널 오디션 에피소드 2-2', '캐논 X.1', '파이널 오디션 에피소드 2-X', '파이널 오디션 에피소드 2-1', '엑스트리', '펌트리스 8비트 ver.', '위엑닥바', '러브 이즈 어 데인저 존 2 - FULL SONG -', '블레이즈 이모션', '비메라', '젓가락 변주곡', '비메라 - SHORT CUT -', '무혼 1.5', '펌트리스 8비트 ver. - SHORT CUT -', '파이널 오디션 에피소드 2-X - SHORT CUT -', '비트 오브 더 워 2 - FULL SONG -', 'NX 오프닝 - SHORT CUT -', '젓가락 변주곡 - FULL SONG -']"
Crash,크래쉬,"['Dignity', 'Dignity - FULL SONG -']","['디그니티', '디그니티 - FULL SONG -']"
The Musical Ghost,The Musical Ghost,['Lohxia'],['록시아']
Croire,Croire,['GLORIA'],['글로리아']
SID-SOUND,시드사운드,"['Yeo rae a', 'Magical Vacation', 'Cosmical Rhythm', 'Dolly KiSS', 'Selfishness', 'Selfishness - SHORT CUT -']","['여래아', '매지컬 베케이션', '코스미컬 리듬', '돌리 키스', '셀피쉬니스', '셀피쉬니스 - SHORT CUT -']"
Dasu feat. Kagamine Len,Dasu feat. 카가미네 렌,['Nakakapagpabagabag'],['꺼림칙한']
D_AAN,D_AAN,"['F(R)IEND', 'ESCAPE', 'Achluoias', 'Wicked Legend']","['프렌드', '이스케이프', '아클루오이아스', '위키드 레전드']"
Lunatic Sounds,루나틱 사운즈,"['Dement ~After Legend~', 'INFINITY', 'Break Out', 'Bring Back The Beat']","['디멘트 ~에프터 레전드~', '인피니티', '브레이크 아웃', '브링 백 더 비트']"
Sanxion7,Sanxion7,"['Gargoyle', 'Gargoyle - FULL SONG -']","['가고일', '가고일 - FULL SONG -']"
Memme,맴매,"['Tantanmen', 'BSPower Explosion', 'Avalanche', 'Hellfire', 'Uranium', 'Cutie Song', 'Tritium', 'Force of Ra', 'Chinese restaurant', 'Black Dragon', 'Fire Noodle Challenge', 'Vulcan']","['탄탄멘', 'BS파워 익스플로전', '아발란치', '헬파이어', '우라늄', '일 더하기 일은 귀요미', '트리튬', '포스 오브 라', '차이니즈 레스토랑', '블랙 드래곤', '파이어 누들 챌린지', '불카누스']"
Brandy,브랜디,"['Cross Time', 'The Festival of Ghost2 (Sneak)']","['크로스 타임', '유령의 축제 2 (Sneak)']"
DM Ashura,DM Ashura,"['Elise', 'Annihilator Method', 'Allegro Con Fuoco', 'Fallen Angel', 'Orbit Stabilizer', 'Allegro Con Fuoco - FULL SONG -', 'X-Rave', 'Allegro Più Mosso', 'X-Rave - SHORT CUT -']","['엘리제', '어나이얼레이터 메소드', '알레그로 콘 뿌오코', '폴른 엔젤', '오르비트 스테빌라이저', '알레그로 콘 뿌오코 - FULL SONG -', '엑스 레이브', '알레그로 피유 모쏘', '엑스 레이브 - SHORT CUT -']"
A:llha (ANE + 2riA),A:llha (ANE + 2riA),['Kokugen Kairou Labyrinth'],['시간의 회랑 라비린스']
STREME REVERIE,STREME REVERIE,['A Site De La Rue'],['어 사이트 데 라 루']
uma vs. Morimori Atsushi,uma vs. Morimori Atsushi,['Re：End of a Dream'],['Re：엔드 오브 어 드림']
Cranky,Cranky,"['Phalanx RS2018 edit', 'MATADOR', 'Danger & Danger']","['팔랑크스 RS2018 edit', '마타도르', '데인저 & 데인저']"
Cashew,Cashew,"['Stardream (feat. Romelon)', 'Waltz of Doge', 'Campanella', 'Prime Time', 'Red Snow']","['스타드림 (feat. Romelon)', '왈츠 오브 도지', '캄파넬라', '프라임 타임', '레드 스노우']"
Ginkiha,Ginkiha,['Paved Garden'],['페이브 가든']
Applesoda,애플소다,"['VANISH', 'Tales of Pumpnia']","['배니쉬', '테일즈 오브 펌프니아']"
Matduke,Matduke,"['Indestructible', 'Rock the house', 'Club Night', 'Rock the house - SHORT CUT -']","['인디스트럭터블', '락 더 하우스', '클럽 나이트', '락 더 하우스 - SHORT CUT -']"
雨漏りＰ/ AmamoriP,아마모리P,['Keep On!'],['킵 온!']
t+pazolite+Ginkiha+Hommarju,t+pazolite+Ginkiha+Hommarju,['Crossing Delta'],['크로싱 델타']
Sakuzyo,Sakuzyo,"['Imprinting', 'Altale', 'Destr0yer']","['임프린팅', '알테일', '디스트로0ㅣ어']"
Nato,나토,"['Nyarlathotep', 'HEART RABBIT COASTER', 'Shub Niggurath', 'Yog-Sothoth', 'Lepton Strike', 'God Mode feat. Skizzo', 'Nihilism - Another Ver.-', 'God Mode 2.0 feat. Skizzo', 'Silhouette Effect', 'Nyarlathotep - SHORT CUT -', 'Yog-Sothoth - SHORT CUT -', 'Shub Niggurath - SHORT CUT -', 'Silhouette Effect - SHORT CUT -', 'Ghroth', 'Cygnus', 'Start On RED']","['니알라토텝', '하트 래빗 코스터', '슈브 니구라스', '요그 소토스', '립톤 스트라이크', '갓 모드 feat. Skizzo', '니힐리즘 - 어나더 버전 -', '갓 모드 2.0 feat. Skizzo', '실루엣 이펙트', '니알라토텝 - SHORT CUT -', '요그 소토스 - SHORT CUT -', '슈브 니구라스 - SHORT CUT -', '실루엣 이펙트 - SHORT CUT -', '그로스', '시그너스', '스타트 온 레드']"
Sr. Lan Belmont,Sr. Lan Belmont,"['Can-can ~Orpheus in The Party Mix~', 'Can-can ~Orpheus in The Party Mix~ - SHORT CUT -', 'Le Nozze di Figaro ~Celebrazione Remix~']","['캉-캉 ~Orpheus in The Party Mix~', '캉-캉 ~Orpheus in The Party Mix~ - SHORT CUT -', '피가로의 결혼 ~Celebrazione Remix~']"
HyuN feat. Syepias,HyuN feat. Syepias,['CROSS SOUL'],['크로스 소울']
uma,uma,['The Reverie'],['더 레버리']
KURORAK,KURORAK,['DESTRUCIMATE'],['파괴']
kanone,kanone,['CO5M1C R4ILR0AD'],['코스믹 레일로드']
Abel,Abel,['Repentance'],['리펜턴스']
KIEN,KIEN,"['Le Grand Bleu', 'Le Grand Rouge']","['라 그랑 블루', '라 그랑드 루즈']"
Lotze,로체,['Loki'],['로키']
Mr. Weq,Mr. Weq,['Sugar Plum'],['슈가 플럼']
Novasonic,노바소닉,"['Another Truth', 'Slam']","['또다른 진심', '슬램']"
SynthWulf,SynthWulf,"['Passacaglia', 'Ragnarok', 'Point Zero One', 'Passacaglia - SHORT CUT -']","['파사칼리아', '라그나로크', '포인트 제로 원', '파사칼리아 - SHORT CUT -']"
BanYa & DM Ashura,반야 & DM Ashura,"['Ignis Fatuus(DM Ashura Mix)', 'Ignis Fatuus(DM Ashura Mix) - SHORT CUT -']","['이그니스 패터스(DM Ashura 믹스)', '이그니스 패터스(DM Ashura 믹스) - SHORT CUT -']"
Koharu feat. Renyata,Koharu feat. Renyata,['Telling Fortune Flower'],['텔링 포츈 플라워']
HIGHTEEN,하이틴,['Timing'],['타이밍']
Jehezukiel,Jehezukiel,"['Twist of Fate (feat. Ruriling)', 'Clematis Rapsodia', 'Fires of Destiny']","['트위스트 오브 페이트 (feat. Ruriling)', '클레마티스 랩소디아', '파이어 오브 데스티니']"
Banya Production,반야 프로덕션,"['The Devil', 'Ugly Dee', 'Turkey March -Minimal Tunes-', 'Phantom -Intermezzo-', 'DJ Otada', 'Arirang', 'Gun Rock', 'Hungarian Dance V', 'Higgledy Piggledy', ""The People didn't know"", 'Caprice of Otada', 'My Dreams', 'Hello William', 'Toccata', 'Pumping Jumping', 'Xenesis', 'K.O.A : Alice In Wonderworld', 'Get Up (and go)', ""Bullfighter's Song"", 'Tek -Club Copenhagen-', 'Beat the ghost', 'Guitar Man', 'Mission Possible -Blow Back-', 'Money', 'Banya-P Guitar Remix', 'Monkey Fingers 2', 'Do U Know That-Old School', 'Caprice of DJ Otada', 'Jam O Beat', 'Money Fingers', 'Dr.KOA', 'PaPa helloizing', 'Banya-P Classic Remix', 'The People didn\'t know ""Pumping up""', 'B.P Classic Remix', 'Do It Reggae Style', 'Turkey Virus', 'K.O.A : Alice In Wonderworld - SHORT CUT -', 'B.P Classic Remix 2', 'Ugly duck Toccata', 'Set Up Me2 Mix ', '2006. LOVE SONG ']","['마왕', '미운 오리새끼', '터키 행진곡 -미니멀튠즈-', '팬텀 -인터메조-', '디제이 오타다', '아리랑', '건 락', '헝가리 무곡 V', '히글디 피글디', '사람들은 몰랐다네', '카프리스 오브 오타다', '마이 드림즈', '안녕 윌리엄', '토카타', '펌핑 점핑', '제네시스', '케이.오.에이 : 엘리스 인 원더월드', '겟 업 (앤 고)', '투우사의 노래', '테크 -클럽 코펜하겐-', '비트 더 고스트', '기타 맨', '미션 파서블 -블로우 백-', '머니', '반야-P 기타 리믹스', '몽키 핑거즈 2', '두 유 노우 댓-올드 스쿨', '카프리스 오브 디제이 오타다', '잼 오 비트', '머니 핑거즈', '닥터 케이오에이', '파파 헬로이징', '반야-P 클래식 리믹스', '사람들은 펌핑업을 몰랐다네', '반야 프로덕션 클래식 리믹스', '두 잇 레게 스타일', '터키 바이러스', '케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -', '반야 프로덕션 클래식 리믹스 2', '미운 오리 토카타', '셋업 미투 믹스', '사랑가 2006 ']"
void,void,"['Just Hold On (To All Fighters)', 'Sudden Romance [PIU Edit]', 'Utsushiyo No Kaze feat. Kana', 'Anguished Unmaking', 'Idealized Romance']","['저스트 홀드 온 (To All Fighters)', '서든 로맨스 [PIU Edit]', '우츠시요 노 카제 feat. Kana', '앵귀시드 언메이킹', '아이디얼라이즈드 로맨스 ']"
SLAM,슬램,"['1950', '1949']","['1950', '1949']"
Yak Won,약 원,"['Windmill', 'Lucid(PIU Edit)']","['윈드밀', '루시드(PIU Edit)']"
TOTO,TOTO,['After a thousand years'],['천년이 지나서']
r300k,r300k,"['Scorpion King', 'Headless Chicken', 'Time Attack <BLUE>']","['스콜피온 킹', '헤드리스 치킨', '타임 어택 <블루>']"
ESTi x M2U,ESTi x M2U,['Obelisque'],['오벨리스크']
HyuN vs lixound,HyuN vs lixound,['Harmagedon'],['아마겟돈']
Diclonius Kid,Diclonius Kid,['Hardkore of the North'],['하드코어 오브 더 노스']
Neutral Moon ,뉴트럴 문,['Travel to future'],['트래블 투 퓨처']
SYNTHWULF,SYNTHWULF,['POINT ZERO 2'],['포인트 제로 2']
BanYa & Cranky,반야 & Cranky,['Love Is A Danger Zone(Cranky Mix)'],['러브 이즈 어 데인저 존(Cranky 믹스)']
Junk,Junk,['Life is PIANO'],['라이프 이즈 피아노']
M2U,엠투유,"['Rising Star', 'Nemesis', 'Hyperion', 'Katkoi', 'Hyperion - SHORT CUT -']","['라이징 스타', '네메시스', '히페리온', '캇코이', '히페리온 - SHORT CUT -']"
Houseplan,하우스플랜,['Houseplan'],['하우스플랜']
you,you,['Smile Diary'],['스마일 다이어리']
Applesoda vs MAX,애플소다 vs 맥스,['Desaparecer'],['데사파레세르']
FE,FE,['Xeroize'],['제로아이즈']
Hommarju,Hommarju,['Pop Sequence'],['팝 시퀀스']
ETIA.,ETIA.,"['Queen Of The Red', 'Mitotsudaira']","['퀸 오브 더 레드', '미토츠다이라']"
Garlic Squad,Garlic Squad,['Kimchi Fingers'],['김치 핑거즈']
mzet:-P,mzet:-P,"['Arcana Force', 'Passing Rider']","['아르카나 포스', '패싱 라이더']"
QWertism,QWertism,['Adrenaline Blaster'],['아드레날린 블래스터']
Quree,Quree,"['Broken Karma (PIU EDIT)', 'HTTP', 'Poseidon', 'Poseidon - SHORT CUT -']","['브로큰 카르마 (PIU EDIT)', 'HTTP', '포세이돈', '포세이돈 - SHORT CUT -']"
StaticSphere & FUGU SUISAN,스태틱스피어 & 복어수산,['CARMEN BUS'],['까르멘 버스']
BeautifulDay,뷰티풀데이,['V3'],['V3']
SANY-ON,SANY-ON,['BEDLAM'],['베들램']
Nato & r300k,나토 & r300k,['Dual Racing <RED vs BLUE>'],['듀얼 레이싱 <레드 vs 블루>']
MonstDeath,MonstDeath,['The End of the World ft. Skizzo'],['디 엔드 오브 더 월드 ft. Skizzo']
DM ashura,DM ashura,['Allegro furioso'],['알레그로 퓨리오소']
Zircon,Zircon,"['Baroque Virus', 'Necromancy', 'Star Command', 'Baroque Virus - FULL SONG -']","['바로크 바이러스', '네크로맨시', '스타 커맨드', '바로크 바이러스 - FULL SONG -']"
Smiley,Smiley,"['Xuxa', 'Utopia']","['슈샤', '유토피아']"
Roy Mikelate,Roy Mikelate,['Your Mind'],['유어 마인드']
Throwdown,Throwdown,['What Happened'],['왓 해픈드']
Tatsh,Tatsh,"['PRIME', 'Silver Beat feat. ChisaUezono']","['프라임', '실버 비트 feat. ChisaUezono']"
typeMARS,typeMARS,"['Awakening', 'Stardust Overdrive', 'Stardust Overdrive - SHORT CUT -']","['어웨이크닝', '스타더스트 오버드라이브', '스타더스트 오버드라이브 - SHORT CUT -']"
Warak,와락,"['Christmas Memories', ""Super Stylin'"", 'Latino Virus', 'Elysium']","['크리스마스의 기억', '슈퍼 스타일린', '라티노 바이러스', '엘리시움']"
zeron,제론,['Black Swan'],['블랙스완']
ATAS,ATAS ,"['Transacaglia in G-minor', 'Obliteration']","['트란사칼리아', '오블리터레이션']"
MAX & DOOM,맥스 앤 둠,['THE REVOLUTION'],['더 레볼루션']
MAX & Rorychesell(SID-SOUND),맥스 & Rorychesell(시드사운드),['Butterfly'],['버터플라이']
3R2,3R2,"['Feel My Happiness', 'Milky Way Galaxy']","['필 마이 해피니스', '밀키 웨이 갤럭시']"
P4Koo,P4Koo,['Gothique Resonance'],['고딕 레조넌스']
Yamajet,야마젯,"['Cycling!', 'Over The Horizon']","['싸이클링!', '오버 더 호라이즌']"
Triplestar,트리플스타,['Donatello'],['도나텔로']
Pory,포리,"['La Cinquantaine', '%X (Percent X)']","['금혼식', '퍼센트 엑스']"
ATAS ,ATAS ,['Asterios -ReEntry-'],['아스테리오스 -리엔트리-']
J-Mi & Midi-D & Ft. Hanna Stockzell,J-Mi & Midi-D & Ft. Hanna Stockzell,"['Pop The Track', 'Pop The Track - SHORT CUT -']","['팝 더 트랙', '팝 더 트랙 - SHORT CUT -']"
SLAM & NATO,슬램 & 나토,"['Paradoxx', 'Paradoxx - SHORT CUT -']","['패러독스', '패러독스 - SHORT CUT -']"
MAX&Seorryang(SID-SOUND),MAX&Seorryang(시드사운드),"[""Jonathan's Dream""]",['조나단의 꿈']
Transin,Transin,['Clue'],['클루']
Archefluxx,Archefluxx,"['Redline', 'Kill Them!']","['레드라인', '킬 뎀!']"
ESTi,ESTi,['HELIX'],['헬릭스']
Nightmare,Nightmare,['Dream To Nightmare'],['드림 투 나이트메어']
DOIN && SUNNY,도인 && SUNNY,['ERRORCODE: 0'],['에러코드: 0']
Vospi,Vospi,"['Smells Like A Chocolate', 'video out c']","['스멜스 라이크 어 초콜릿', '비디오 아웃 씨']"
Affinity,Affinity,['Monolith'],['모노리스']
5argon,5argon,"[""Rave'til the earth's end""]",['레이브 언틸 디 어스 엔드']
Hi-G,Hi-G,['Tribe Attacker'],['트라이브 어택커']
Skizzo,Skizzo,['Up & Up (Produced by AWAL)'],['업 앤 업 (Produced by AWAL)']
バクステ外神田一丁目 Bakusute Sotokanda Icchome,바쿠스테 소토칸다 잇쵸메,"['ヨロピク ピクヨロ！Yoropiku Pikuyoro !', '甘い誘惑デインジャラスAmai Yuuwaku Dangerous']","['요로피쿠 피쿠요로 !', '아마이 유우와쿠 데인저러스']"
BanYa & SynthWulf,반야 & SynthWulf,['Hypnosis(SynthWulf Mix)'],['힙노시스(SynthWulf 믹스)']
Gentle Stick,잰틀 스틱,"['Hestia', 'Amphitryon']","['헤스티아', '암피트리온']"
Paul Bazooka,폴 바주카,"['Mad5cience', 'Meteo5cience (GADGET mix)', 'Meteorize']","['매드 사이언스', '메테오 사이언스 (GADGET mix)', '메테오라이즈']"
